Name,Base,Copy Of,Flavor,NEW
natural cinnamon flavor & cinnamon bark,,natural cinnamon flavor,TRUE,
natural coconut flavor,coconut,,TRUE,
natural cranberry flavor,cranberry,,TRUE,
natural essential oils of cassia and orange,orange,,TRUE,
natural flavor,,,TRUE,
natural flavouring,,natural flavor,,
natural flavours,,natural flavor,,
natural ginger flavor,ginger,,TRUE,
natural lime,lime,,,
natural lime flavoring,lime,,TRUE,
natural mango flavor,,mango flavouring,,
natural orange flavor,orange,,TRUE,
natural peach flavor,peach,,TRUE,
natural plum flavor,plum,,TRUE,
natural prickly pear flavor,,natural and artificial prickly pear flavouring,,
natural raspberry,raspberry,,,
natural spicy cinnamon flavor,,natural cinnamon flavor,,
natural strawberry,strawberry,,,
natural strawberry flavor,strawberry,,TRUE,
natural vanilla flavor,vanilla,,TRUE,
natural vanilla flavouring,,natural vanilla flavor,,
natural watermelon flavor,watermelon,,TRUE,
natural whipped cream,,,,
natural wild cherry flavor,cherry,,TRUE,
nilgiri,,,,
nutmeg,,,,
oolong,oolong tea,,,
oolong tea,,,,
orange flavouring,orange,,TRUE,
orange juice,orange,,,
orange juice bits,orange,,,
orange peel,orange,,,
orange peels,,orange peel,,
organic black pepper,black pepper,,,
organic black tea,black tea,,,
organic chamomile flowers,chamomile,,,
organic chinese lapsang souchong,black tea,,,
organic cinnamon,cinnamon,,,
organic ginger,ginger,,,
organic green tea,green tea,,,
organic hibiscus flowers,hibiscus,,,
organic lavender flowers,lavender,,,
organic lemon myrtle,lemon,,,
organic licorice root,licorice,,,
organic orange peel,orange,,,
organic pink roses,rose,,,
organic red ginseng,ginseng,,,
organic star anise,,,,
pan fired green tea,green tea,,,
papaya,,,,
papaya flavor,papaya,,TRUE,
passion flower,papaya,,,
passion fruit flavoring,passion flower,,TRUE,
passionflower,,passion flower,,
peach,,,,
peach pieces,peach,,,
pear,,,,
pear pieces,pear,,,
peppermint,,,,
persimmon leaves,,,,
pineapple,,,,
pineapple bits,pineapple,,,
pineapple pieces,,pineapple bits,,
pink peppercorns,black pepper,,,
pink sugar mix,sugar,,,
pistachios,,,,
plum,,,,
pomegranate,,,,
pomegranate flavor,pomegranate,,TRUE,
pomegrante pieces,pomegranate,,,
pop rice,rice,,,
pouchong,,,,
pu'erh tea,,,,
raisins,,,,
raspberries,,raspberry,,
raspberry,,,,
raspberry flavor,raspberry,,TRUE,
raspberry leaves,,,,
raspberry pieces,raspberry,,,
red currants,currants,,,
red groats,,,,
red raspberry flavor,raspberry,,TRUE,
red rooibos,rooibos,,,
red rose petals,rose,,,
red tea,black tea,,,
rhubarb,,,,
roasted carob,carob,,,
roasted green tea,green tea,,,
roasted rice,rice,,,
rooibos,,,,
rooibos tea,rooibos,,,
rose,rose,,,
rose blossom leaves,rose,,,
rose blossoms,rose,,,
rose bud,rose,,,
rose flavor,rose,,TRUE,
rose flower,rose,,,
rose hip,,,,
rose hip peel,rose hip,,,
rose hip peels,,rose hip peel,,
rose hips,,rose hip,,
rose petal,rose,,,
rose petals,,rose petal,,
rose stem,rose,,,
rosebuds,rose,,,
rosehip peels,,rose hip peel,,
rosehip shells,rose,,,
rosehips,rose,,,
safflower,,,,
safflower petals,safflower,,,
safflowers,,safflower,,
sassafras root bark,sassafras,,,
sativa,,,,
schizandra berry pulp,,,,
sea salt,salt,,,
sencha,green tea,,,
sencha green tea,green tea,,,
senna leaves,,,,
shui xian oolong tea,oolong tae,,,
silver needle,white tea,,,
silver needles,,silver needle,,
sour apple,apple,,,
sour cherries,cherries,,,
spearmint leaves,mint,,,
sprinkles,,,,
star anise,,,,
starwberry,,strawberry,,
steamed green tea,green tea,,,
stevia,,,,
stevia extract,stevia,,,
stevia leaf,stevia,,,
strawberries,,strawberry,,
strawberries and raspberry leaves,strawberry,,,
strawberry,,,,
strawberry bits,strawberry,,,
strawberry leaf,strawberry,,,
strawberry leaves,,strawberry leaf,,
strawberry pieces,strawberry,,,
strawberry slices,strawberry,,,
sugar,,,,
sugar hearts,sugar,,,
sultanas,,,,
sunflower,,,,
sweet blackberry leaf,blackberry leaf,,,
sweet blackberry leaves,blackberry leaf,,,
taiwanese black,black tea,,,
tangerine pieces,tangerine,,,
tarragon,,,,
tart pomegranate flavor,pomegranate,,TRUE,
tropical fruit flavor,,,TRUE,
vanilla,,,,
vanilla and berry flavoring,berry,,TRUE,
vanilla and caramel flavouring,caramel,,TRUE,
vanilla and cinnamon,cinnamon,,TRUE,
vanilla beans,vanilla,,,
vanilla creme extract,vanilla,,,
vanilla extract,vanilla,,,
vanilla flavoring,vanilla,,TRUE,
vanilla pieces,vanilla,,,
vitamin c,,,,
watermelon,,,,
watermelon seeds,,,,
white chocolate,,,,
white chocolate chips,white chocolate,,,
